sigma	mean_tau20	mean_tau40000	endpoint_difference	sem_tau20	sem_tau40000	se_endpoint_difference	difference_over_se	endpoint_difference_percentage_points
0.03	0.7768042188286781	0.7817046454250812	0.004900426596403107	0.00015494877510520774	1.7098131462815467e-06	0.0001549582084550523	31.624182063414477	0.4900426596403107
0.06	0.7632028174102307	0.7815441496074199	0.018341332197189253	0.0005472063624575649	6.826496883346115e-06	0.0005472489416835251	33.5155188071539	1.8341332197189253
0.1	0.7374149601459503	0.781164652466774	0.04374969232082371	0.001151599864330011	1.8900351400409173e-05	0.0011517549525866858	37.98524349521382	4.374969232082371
