sigma	mean_tau20	mean_tau40000	endpoint_difference	sem_tau20	sem_tau40000	se_endpoint_difference	difference_over_se	endpoint_difference_percentage_points
0.03	0.6652063282430172	0.6725569681376219	0.007350639894604716	0.0002324231626578116	2.5647197194223203e-06	0.00023243731268257845	31.624182063414718	0.7350639894604716
0.06	0.6448042261153459	0.6723162244111299	0.02751199829578399	0.0008208095436863473	1.0239745325019172e-05	0.0008208734125252875	33.51551880715404	2.751199829578399
0.1	0.6061224402189255	0.671746978700161	0.0656245384812355	0.0017273997964950168	2.8350527100613758e-05	0.001727632428880029	37.98524349521378	6.562453848123551
