sigma	tau_c_ns	n_samples	mean_reported_fidelity	sd_reported_fidelity_ddof1	sem_reported_fidelity	min	max
0.03	20.0	2000	0.7768042188286781	0.006929519883311433	0.00015494877510520774	0.7292446494102478	0.7817583084106445
0.03	40.0	2000	0.7764623053669929	0.007216501546236662	0.00016136588017117516	0.7193676829338074	0.7817583084106445
0.03	60.0	2000	0.7766675713062287	0.006959838113589481	0.00015562671134379983	0.7291436195373535	0.7817583084106445
0.03	80.0	2000	0.7765657617151738	0.006882153857202935	0.0001538896385631814	0.7124621272087097	0.7817583084106445
0.03	120.0	2000	0.7765246020257472	0.0073534584591811395	0.0001644283298444989	0.7135605812072754	0.7817584276199341
0.03	200.0	2000	0.7764520246088504	0.007297111776763717	0.0001631683797225794	0.714735209941864	0.7817582488059998
0.03	400.0	2000	0.7767654114961624	0.006863299814421064	0.0001534680493500719	0.7002188563346863	0.7817583084106445
0.03	800.0	2000	0.7814094811677933	0.0004906418830451896	1.0971086030975454e-05	0.7782067656517029	0.7817584276199341
0.03	1200.0	2000	0.7802277237474918	0.0021032515529442316	4.7030134461652996e-05	0.7559328079223633	0.7817583084106445
0.03	2400.0	2000	0.7813820122778415	0.0005209448641623732	1.1648681287964606e-05	0.7747321128845215	0.7817583084106445
0.03	5000.0	2000	0.7816079287230968	0.00021934530079101262	4.904710031138426e-06	0.7796199321746826	0.7817586660385132
0.03	8000.0	2000	0.7814885520339012	0.000380661472831505	8.511849296664345e-06	0.7787072062492371	0.7817587852478027
0.03	20000.0	2000	0.781595352768898	0.00023497851940040861	5.2542794263156675e-06	0.7788805961608887	0.7817591428756714
0.03	40000.0	2000	0.7817046454250812	7.64651684781666e-05	1.7098131462815467e-06	0.7810486555099487	0.7817601561546326
0.06	20.0	2000	0.7632028174102307	0.02447181248351008	0.0005472063624575649	0.6196255683898926	0.7817580699920654
0.06	40.0	2000	0.7619665665924549	0.025276136621661043	0.0005651915969460597	0.5998393297195435	0.7817583084106445
0.06	60.0	2000	0.7626873833835125	0.02450176874859619	0.0005478762049084103	0.6194060444831848	0.7817582488059998
0.06	80.0	2000	0.7622796636521816	0.024340351973846108	0.0005442668160979108	0.588019609451294	0.781758189201355
0.06	120.0	2000	0.7622390207648277	0.025647714745805357	0.0005735003363914452	0.5897891521453857	0.7817583084106445
0.06	200.0	2000	0.7619476597011089	0.025350834017077883	0.0005668618814850021	0.5917273163795471	0.7817583084106445
0.06	400.0	2000	0.763038429737091	0.024133671356192578	0.0005396452969908614	0.5711380243301392	0.7817584276199341
0.06	800.0	2000	0.780369693428278	0.0019461695996545918	4.351767520571218e-05	0.7677724361419678	0.7817583084106445
0.06	1200.0	2000	0.7757538785338401	0.00808865480120587	0.0001808678198202637	0.6900466680526733	0.7817583084106445
0.06	2400.0	2000	0.7802606769502163	0.002062743179162048	4.612433968730367e-05	0.7545126676559448	0.7817584276199341
0.06	5000.0	2000	0.781158418148756	0.0008738205155529488	1.9539220729103056e-05	0.7732843160629272	0.7817587852478027
0.06	8000.0	2000	0.7806834532320499	0.001512857201505036	3.382851542815358e-05	0.7697153091430664	0.7817592024803162
0.06	20000.0	2000	0.7811084417402744	0.0009355187196369782	2.0918834513318507e-05	0.7703914642333984	0.7817597389221191
0.06	40000.0	2000	0.7815441496074199	0.0003052902215870473	6.826496883346115e-06	0.7789284586906433	0.7817599177360535
0.1	20.0	2000	0.7374149601459503	0.051501111590428805	0.001151599864330011	0.5518070459365845	0.7817578315734863
0.1	40.0	2000	0.7346721857786178	0.052391298993201954	0.0011715050597831587	0.5516093969345093	0.781758189201355
0.1	60.0	2000	0.736147667080164	0.051253548217850844	0.0011460641790317768	0.551788330078125	0.7817583084106445
0.1	80.0	2000	0.7350531809031964	0.05169850247661417	0.0011560136587265052	0.5518221259117126	0.781758189201355
0.1	120.0	2000	0.7355117205381393	0.05281047970270883	0.0011808782253962982	0.5515754222869873	0.781758189201355
0.1	200.0	2000	0.7346778704524041	0.05210516065606711	0.001165106812055136	0.5515782833099365	0.7817583084106445
0.1	400.0	2000	0.7368791638612747	0.05115518608638937	0.0011438647349081806	0.5516861081123352	0.7817582488059998
0.1	800.0	2000	0.7779423035383225	0.005299875002587748	0.00011850880778038076	0.7443220019340515	0.7817583084106445
0.1	1200.0	2000	0.7658202376961708	0.020538337632120263	0.00045925119090262973	0.5919737815856934	0.781758189201355
0.1	2400.0	2000	0.7776451209485531	0.005595401812098921	0.00012511698813278692	0.7114931344985962	0.7817583084106445
0.1	5000.0	2000	0.780100202769041	0.0024039989904910534	5.3755051605788656e-05	0.7587358355522156	0.7817584872245789
0.1	8000.0	2000	0.778797500371933	0.004138594667781343	9.254179008477241e-05	0.7493526339530945	0.7817584872245789
0.1	20000.0	2000	0.7799626720249653	0.0025697063367822915	5.746038051257172e-05	0.7511164546012878	0.7817586660385132
0.1	40000.0	2000	0.781164652466774	0.0008452494105989652	1.8900351400409173e-05	0.7739535570144653	0.7817602157592773
