sigma	tau_c_ns	n_samples	mean_state_fidelity	sd_state_fidelity_ddof1	sem_state_fidelity	min	max
0.03	20.0	2000	0.6652063282430172	0.01039427982496715	0.0002324231626578116	0.5938669741153717	0.6726374626159668
0.03	40.0	2000	0.6646934580504894	0.010824752319354994	0.00024204882025676276	0.5790515244007111	0.6726374626159668
0.03	60.0	2000	0.6650013569593429	0.010439757170384222	0.00023344006701569973	0.5937154293060303	0.6726374626159668
0.03	80.0	2000	0.6648486425727606	0.010323230785804402	0.00023083445784477212	0.5686931908130646	0.6726374626159668
0.03	120.0	2000	0.664786903038621	0.011030187688771708	0.00024664249476674834	0.5703408718109131	0.6726376414299011
0.03	200.0	2000	0.6646780369132758	0.010945667665145575	0.0002447525695838691	0.572102814912796	0.6726373732089996
0.03	400.0	2000	0.6651481172442436	0.010294949721631598	0.0002302020740251079	0.5503282845020294	0.6726374626159668
0.03	800.0	2000	0.6721142217516899	0.0007359628245677843	1.645662904646318e-05	0.6673101484775543	0.6726376414299011
0.03	1200.0	2000	0.6703415856212378	0.0031548773294163474	7.05452016924795e-05	0.6338992118835449	0.6726374626159668
0.03	2400.0	2000	0.6720730184167624	0.00078141729624356	1.7473021931946914e-05	0.6620981693267822	0.6726374626159668
0.03	5000.0	2000	0.6724118930846452	0.00032901795118651895	7.357065046707639e-06	0.6694298982620239	0.6726379990577698
0.03	8000.0	2000	0.6722328280508518	0.0005709922092472574	1.2767773944996515e-05	0.6680608093738556	0.6726381778717041
0.03	20000.0	2000	0.672393029153347	0.0003524677791006129	7.881419139473501e-06	0.668320894241333	0.6726387143135071
0.03	40000.0	2000	0.6725569681376219	0.00011469775271724993	2.5647197194223203e-06	0.6715729832649231	0.6726402342319489
0.06	20.0	2000	0.6448042261153459	0.03670771872526512	0.0008208095436863473	0.42943835258483887	0.6726371049880981
0.06	40.0	2000	0.6429498498886823	0.03791420493249156	0.0008477873954190895	0.3997589945793152	0.6726374626159668
0.06	60.0	2000	0.6440310750752688	0.03675265312289428	0.0008218143073626154	0.4291090667247772	0.6726373732089996
0.06	80.0	2000	0.6434194954782725	0.03651052796076916	0.0008164002241468661	0.3820294141769409	0.6726372838020325
0.06	120.0	2000	0.6433585311472416	0.03847157211870803	0.0008602505045871676	0.3846837282180786	0.6726374626159668
0.06	200.0	2000	0.6429214895516634	0.038026251025616825	0.0008502928222275031	0.3875909745693207	0.6726374626159668
0.06	400.0	2000	0.6445576446056366	0.03620050703428887	0.0008094679454862923	0.35670703649520874	0.6726376414299011
0.06	800.0	2000	0.670554540142417	0.0029192543994818877	6.527651280856828e-05	0.6516586542129517	0.6726374626159668
0.06	1200.0	2000	0.6636308178007603	0.012132982201808805	0.00027130172973039557	0.53507000207901	0.6726374626159668
0.06	2400.0	2000	0.6703910154253244	0.003094114768743072	6.91865095309555e-05	0.6317690014839172	0.6726376414299011
0.06	5000.0	2000	0.671737627223134	0.0013107307733294235	2.930883109365459e-05	0.6599264740943909	0.6726381778717041
0.06	8000.0	2000	0.6710251798480749	0.0022692858022575536	5.0742773142230355e-05	0.6545729637145996	0.6726388037204742
0.06	20000.0	2000	0.6716626626104116	0.0014032780794554674	3.137825176997776e-05	0.6555871963500977	0.6726396083831787
0.06	40000.0	2000	0.6723162244111299	0.00045793533238057096	1.0239745325019172e-05	0.668392688035965	0.6726398766040802
0.1	20.0	2000	0.6061224402189255	0.07725166738564321	0.0017273997964950168	0.3277105689048767	0.6726367473602295
0.1	40.0	2000	0.6020082786679268	0.07858694848980292	0.0017572575896747378	0.3274140954017639	0.6726372838020325
0.1	60.0	2000	0.6042215006202459	0.07688032232677626	0.001719096268547665	0.3276824951171875	0.6726374626159668
0.1	80.0	2000	0.6025797713547945	0.07754775371492126	0.0017340204880897578	0.32773318886756897	0.6726372838020325
0.1	120.0	2000	0.603267580807209	0.07921571955406326	0.0017713173380944475	0.32736313343048096	0.6726372838020325
0.1	200.0	2000	0.602016805678606	0.07815774098410067	0.0017476602180827039	0.3273674249649048	0.6726374626159668
0.1	400.0	2000	0.605318745791912	0.07673277912958407	0.001715797102362271	0.3275291621685028	0.6726373732089996
0.1	800.0	2000	0.6669134553074837	0.007949812503881623	0.00017776321167057118	0.6164830029010773	0.6726374626159668
0.1	1200.0	2000	0.6487303565442563	0.030807506448180397	0.0006888767863539447	0.38796067237854004	0.6726372838020325
0.1	2400.0	2000	0.6664676814228296	0.008393102718148382	0.0001876754821991804	0.5672397017478943	0.6726374626159668
0.1	5000.0	2000	0.6701503041535616	0.00360599848573658	8.063257740868298e-05	0.6381037533283234	0.6726377308368683
0.1	8000.0	2000	0.6681962505578994	0.006207892001672015	0.00013881268512715863	0.6240289509296417	0.6726377308368683
0.1	20000.0	2000	0.6699440080374479	0.003854559505173437	8.619057076885757e-05	0.6266746819019318	0.6726379990577698
0.1	40000.0	2000	0.671746978700161	0.0012678741158984477	2.8350527100613758e-05	0.660930335521698	0.672640323638916
