tau_c	metric	value
20.0	fidelity1	0.7817339897
20.0	fidelity1	0.7685718536
20.0	fidelity1	0.7775596380
20.0	fidelity1	0.7811511755
20.0	fidelity1	0.7782748938
20.0	fidelity1	0.7409815788
20.0	fidelity1	0.7670916915
20.0	fidelity1	0.7806930542
20.0	fidelity1	0.7800157070
20.0	fidelity1	0.7597362399
20.0	fidelity1	0.6970872283
20.0	fidelity1	0.7711741924
20.0	fidelity1	0.6757105589
20.0	fidelity1	0.7668597102
20.0	fidelity1	0.7215440273
20.0	fidelity1	0.7789394855
20.0	fidelity1	0.7391223907
20.0	fidelity1	0.7807558775
20.0	fidelity1	0.7320491672
20.0	fidelity1	0.7647652030
20.0	fidelity1	0.7551105022
20.0	fidelity1	0.7711887360
20.0	fidelity1	0.7194989920
20.0	fidelity1	0.7803910971
20.0	fidelity1	0.7770088911
20.0	fidelity1	0.7795893550
20.0	fidelity1	0.7816962600
20.0	fidelity1	0.7507488728
20.0	fidelity1	0.7128823996
20.0	fidelity1	0.7710204124
20.0	fidelity1	0.7817544937
20.0	fidelity1	0.7600259781
20.0	fidelity1	0.7809866667
20.0	fidelity1	0.7810873985
20.0	fidelity1	0.7743253708
20.0	fidelity1	0.7509346008
20.0	fidelity1	0.7811578512
20.0	fidelity1	0.7758023143
20.0	fidelity1	0.7813708186
20.0	fidelity1	0.7772600055
20.0	fidelity1	0.7801935673
20.0	fidelity1	0.7811894417
20.0	fidelity1	0.7403954268
20.0	fidelity1	0.7430161238
20.0	fidelity1	0.7682635784
20.0	fidelity1	0.7776677012
20.0	fidelity1	0.7813692093
20.0	fidelity1	0.7199847102
20.0	fidelity1	0.7790764570
20.0	fidelity1	0.7487014532
20.0	fidelity1	0.7133828402
20.0	fidelity1	0.7534561157
20.0	fidelity1	0.7795974612
20.0	fidelity1	0.7472649813
20.0	fidelity1	0.7816835642
20.0	fidelity1	0.7817543745
20.0	fidelity1	0.7713584304
20.0	fidelity1	0.7817010880
20.0	fidelity1	0.7794555426
20.0	fidelity1	0.7406591177
20.0	fidelity1	0.6981805563
20.0	fidelity1	0.7805959582
20.0	fidelity1	0.7272266150
20.0	fidelity1	0.7808882594
20.0	fidelity1	0.7723220587
20.0	fidelity1	0.7548680305
20.0	fidelity1	0.7689229846
20.0	fidelity1	0.7816357613
20.0	fidelity1	0.7598568797
20.0	fidelity1	0.7575587034
20.0	fidelity1	0.7699937820
20.0	fidelity1	0.7812595367
20.0	fidelity1	0.7813534737
20.0	fidelity1	0.7805945277
20.0	fidelity1	0.7806782722
20.0	fidelity1	0.7806720734
20.0	fidelity1	0.7387129068
20.0	fidelity1	0.6937509775
20.0	fidelity1	0.6709284186
20.0	fidelity1	0.7756118774
20.0	fidelity1	0.7783441544
20.0	fidelity1	0.7662587166
20.0	fidelity1	0.7796651125
20.0	fidelity1	0.7789219618
20.0	fidelity1	0.7814655304
20.0	fidelity1	0.7295414209
20.0	fidelity1	0.7146492004
20.0	fidelity1	0.7789850235
20.0	fidelity1	0.7688927650
20.0	fidelity1	0.7581192851
20.0	fidelity1	0.7448391914
20.0	fidelity1	0.7596243620
20.0	fidelity1	0.7383613586
20.0	fidelity1	0.7666852474
20.0	fidelity1	0.7733587623
20.0	fidelity1	0.7484784126
20.0	fidelity1	0.7571114302
20.0	fidelity1	0.7804310322
20.0	fidelity1	0.7806400657
20.0	fidelity1	0.7815718651
20.0	trace_distance	0.3274184465
20.0	trace_distance	0.3562949002
20.0	trace_distance	0.3368446231
20.0	trace_distance	0.3287509382
20.0	trace_distance	0.3352482319
20.0	trace_distance	0.4102824330
20.0	trace_distance	0.3593969345
20.0	trace_distance	0.3297938108
20.0	trace_distance	0.3313306570
20.0	trace_distance	0.3744320571
20.0	trace_distance	0.4839140773
20.0	trace_distance	0.3507741392
20.0	trace_distance	0.5159825683
20.0	trace_distance	0.3598809540
20.0	trace_distance	0.4443958700
20.0	trace_distance	0.3337584138
20.0	trace_distance	0.4136667252
20.0	trace_distance	0.3296512961
20.0	trace_distance	0.4262983799
20.0	trace_distance	0.3642195761
20.0	trace_distance	0.3835859001
20.0	trace_distance	0.3507429361
20.0	trace_distance	0.4478338361
20.0	trace_distance	0.3304801583
20.0	trace_distance	0.3380689025
20.0	trace_distance	0.3322946727
20.0	trace_distance	0.3275047541
20.0	trace_distance	0.3920209408
20.0	trace_distance	0.4587812424
20.0	trace_distance	0.3511028290
20.0	trace_distance	0.3273713291
20.0	trace_distance	0.3738510609
20.0	trace_distance	0.3291259408
20.0	trace_distance	0.3288960159
20.0	trace_distance	0.3439705670
20.0	trace_distance	0.3916655183
20.0	trace_distance	0.3287357688
20.0	trace_distance	0.3407348096
20.0	trace_distance	0.3282491863
20.0	trace_distance	0.3375113606
20.0	trace_distance	0.3309280872
20.0	trace_distance	0.3286632895
20.0	trace_distance	0.4113523066
20.0	trace_distance	0.4065459371
20.0	trace_distance	0.3569428921
20.0	trace_distance	0.3366040587
20.0	trace_distance	0.3282528222
20.0	trace_distance	0.4470196366
20.0	trace_distance	0.3334504068
20.0	trace_distance	0.3959186077
20.0	trace_distance	0.4579623938
20.0	trace_distance	0.3868069053
20.0	trace_distance	0.3322764337
20.0	trace_distance	0.3986306787
20.0	trace_distance	0.3275339007
20.0	trace_distance	0.3273714185
20.0	trace_distance	0.3503799140
20.0	trace_distance	0.3274938464
20.0	trace_distance	0.3325965106
20.0	trace_distance	0.4108709693
20.0	trace_distance	0.4822165966
20.0	trace_distance	0.3300148845
20.0	trace_distance	0.4346996248
20.0	trace_distance	0.3293499351
20.0	trace_distance	0.3483110964
20.0	trace_distance	0.3840593994
20.0	trace_distance	0.3555549383
20.0	trace_distance	0.3276431262
20.0	trace_distance	0.3741903901
20.0	trace_distance	0.3787689507
20.0	trace_distance	0.3532890081
20.0	trace_distance	0.3285031915
20.0	trace_distance	0.3282889724
20.0	trace_distance	0.3300178647
20.0	trace_distance	0.3298277855
20.0	trace_distance	0.3298421204
20.0	trace_distance	0.4144083858
20.0	trace_distance	0.4890575707
20.0	trace_distance	0.5228872895
20.0	trace_distance	0.3411538601
20.0	trace_distance	0.3350931704
20.0	trace_distance	0.3611311316
20.0	trace_distance	0.3321238160
20.0	trace_distance	0.3337976336
20.0	trace_distance	0.3280327916
20.0	trace_distance	0.4306873679
20.0	trace_distance	0.4558835030
20.0	trace_distance	0.3336560130
20.0	trace_distance	0.3556185067
20.0	trace_distance	0.3776573241
20.0	trace_distance	0.4031686485
20.0	trace_distance	0.3746560812
20.0	trace_distance	0.4150441587
20.0	trace_distance	0.3602441549
20.0	trace_distance	0.3460716605
20.0	trace_distance	0.3963407874
20.0	trace_distance	0.3796532452
20.0	trace_distance	0.3303896487
20.0	trace_distance	0.3299144506
20.0	trace_distance	0.3277892172
40.0	fidelity1	0.7807270885
40.0	fidelity1	0.7745792270
40.0	fidelity1	0.7812219858
40.0	fidelity1	0.7816013098
40.0	fidelity1	0.7388708591
40.0	fidelity1	0.7805658579
40.0	fidelity1	0.7734724879
40.0	fidelity1	0.7753197551
40.0	fidelity1	0.7269551158
40.0	fidelity1	0.7815666199
40.0	fidelity1	0.7445470691
40.0	fidelity1	0.7800382376
40.0	fidelity1	0.7765021324
40.0	fidelity1	0.7360382080
40.0	fidelity1	0.7638671398
40.0	fidelity1	0.7769886255
40.0	fidelity1	0.6828662753
40.0	fidelity1	0.7247301936
40.0	fidelity1	0.7760446072
40.0	fidelity1	0.7809251547
40.0	fidelity1	0.7434265614
40.0	fidelity1	0.7817394137
40.0	fidelity1	0.7656607628
40.0	fidelity1	0.7788940668
40.0	fidelity1	0.7607066631
40.0	fidelity1	0.7778241038
40.0	fidelity1	0.7278122306
40.0	fidelity1	0.7811864614
40.0	fidelity1	0.7634930611
40.0	fidelity1	0.7650660276
40.0	fidelity1	0.7673128843
40.0	fidelity1	0.7501125336
40.0	fidelity1	0.7805676460
40.0	fidelity1	0.7726539373
40.0	fidelity1	0.7705435753
40.0	fidelity1	0.7785608172
40.0	fidelity1	0.7724199295
40.0	fidelity1	0.6443176270
40.0	fidelity1	0.7756683826
40.0	fidelity1	0.7810395956
40.0	fidelity1	0.7517861128
40.0	fidelity1	0.7529854774
40.0	fidelity1	0.7772464752
40.0	fidelity1	0.7744752765
40.0	fidelity1	0.7813572884
40.0	fidelity1	0.7812167406
40.0	fidelity1	0.7396088839
40.0	fidelity1	0.7656259537
40.0	fidelity1	0.7789785862
40.0	fidelity1	0.7684386969
40.0	fidelity1	0.7538890839
40.0	fidelity1	0.7665411234
40.0	fidelity1	0.7438195944
40.0	fidelity1	0.7497646213
40.0	fidelity1	0.7747454643
40.0	fidelity1	0.7532984614
40.0	fidelity1	0.7452391386
40.0	fidelity1	0.7684368491
40.0	fidelity1	0.7547386885
40.0	fidelity1	0.7719095945
40.0	fidelity1	0.7714921832
40.0	fidelity1	0.7817322016
40.0	fidelity1	0.7611465454
40.0	fidelity1	0.7805581093
40.0	fidelity1	0.7777549624
40.0	fidelity1	0.7768682837
40.0	fidelity1	0.7816785574
40.0	fidelity1	0.7625226974
40.0	fidelity1	0.7706755400
40.0	fidelity1	0.7360011935
40.0	fidelity1	0.7235727310
40.0	fidelity1	0.7784470320
40.0	fidelity1	0.7458782196
40.0	fidelity1	0.7611540556
40.0	fidelity1	0.7571384311
40.0	fidelity1	0.7659192085
40.0	fidelity1	0.7702207565
40.0	fidelity1	0.7525596619
40.0	fidelity1	0.7687635422
40.0	fidelity1	0.7787221670
40.0	fidelity1	0.7763428688
40.0	fidelity1	0.7814974785
40.0	fidelity1	0.7236746550
40.0	fidelity1	0.7496725321
40.0	fidelity1	0.7540688515
40.0	fidelity1	0.7799155116
40.0	fidelity1	0.7766528130
40.0	fidelity1	0.7392287254
40.0	fidelity1	0.7812747955
40.0	fidelity1	0.7797861099
40.0	fidelity1	0.7463135719
40.0	fidelity1	0.7810577154
40.0	fidelity1	0.7808641195
40.0	fidelity1	0.7817234993
40.0	fidelity1	0.7783820033
40.0	fidelity1	0.7810959816
40.0	fidelity1	0.7811152339
40.0	fidelity1	0.7314596176
40.0	fidelity1	0.7810825706
40.0	fidelity1	0.7809270620
40.0	trace_distance	0.3297165632
40.0	trace_distance	0.3434165418
40.0	trace_distance	0.3285891414
40.0	trace_distance	0.3277224302
40.0	trace_distance	0.4141226411
40.0	trace_distance	0.3300834596
40.0	trace_distance	0.3458252251
40.0	trace_distance	0.3417955041
40.0	trace_distance	0.4351679683
40.0	trace_distance	0.3278014660
40.0	trace_distance	0.4037116170
40.0	trace_distance	0.3312802911
40.0	trace_distance	0.3391908407
40.0	trace_distance	0.4192212820
40.0	trace_distance	0.3660638630
40.0	trace_distance	0.3381135464
40.0	trace_distance	0.5054743290
40.0	trace_distance	0.4389857054
40.0	trace_distance	0.3402012289
40.0	trace_distance	0.3292661905
40.0	trace_distance	0.4057881832
40.0	trace_distance	0.3274055719
40.0	trace_distance	0.3623708189
40.0	trace_distance	0.3338603079
40.0	trace_distance	0.3724833131
40.0	trace_distance	0.3362553716
40.0	trace_distance	0.4336879849
40.0	trace_distance	0.3286701143
40.0	trace_distance	0.3668298423
40.0	trace_distance	0.3635996580
40.0	trace_distance	0.3589354157
40.0	trace_distance	0.3932365775
40.0	trace_distance	0.3300793767
40.0	trace_distance	0.3475958109
40.0	trace_distance	0.3521200716
40.0	trace_distance	0.3346081376
40.0	trace_distance	0.3481006026
40.0	trace_distance	0.5597565174
40.0	trace_distance	0.3410297334
40.0	trace_distance	0.3290050328
40.0	trace_distance	0.3900313973
40.0	trace_distance	0.3877188563
40.0	trace_distance	0.3375412226
40.0	trace_distance	0.3436437249
40.0	trace_distance	0.3282799423
40.0	trace_distance	0.3286011219
40.0	trace_distance	0.4127837420
40.0	trace_distance	0.3624427915
40.0	trace_distance	0.3336705863
40.0	trace_distance	0.3565751314
40.0	trace_distance	0.3859663904
