tau_c	metric	value
20.0	fidelity1	0.7816907167
20.0	fidelity1	0.7463845611
20.0	fidelity1	0.7702218890
20.0	fidelity1	0.7800742984
20.0	fidelity1	0.7721694708
20.0	fidelity1	0.6807537079
20.0	fidelity1	0.7425726652
20.0	fidelity1	0.7788081169
20.0	fidelity1	0.7769402266
20.0	fidelity1	0.7241106033
20.0	fidelity1	0.6015509367
20.0	fidelity1	0.7531654239
20.0	fidelity1	0.5753726363
20.0	fidelity1	0.7419778109
20.0	fidelity1	0.6416831017
20.0	fidelity1	0.7739849091
20.0	fidelity1	0.6767536998
20.0	fidelity1	0.7789809108
20.0	fidelity1	0.6620384455
20.0	fidelity1	0.7366462946
20.0	fidelity1	0.7129158974
20.0	fidelity1	0.7532037497
20.0	fidelity1	0.6379330158
20.0	fidelity1	0.7779742479
20.0	fidelity1	0.7687273026
20.0	fidelity1	0.7757672071
20.0	fidelity1	0.7815862894
20.0	fidelity1	0.7026583552
20.0	fidelity1	0.6262838840
20.0	fidelity1	0.7527617812
20.0	fidelity1	0.7817478180
20.0	fidelity1	0.7248229384
20.0	fidelity1	0.7796192169
20.0	fidelity1	0.7798980474
20.0	fidelity1	0.7615084052
20.0	fidelity1	0.7030891776
20.0	fidelity1	0.7800926566
20.0	fidelity1	0.7654691935
20.0	fidelity1	0.7806832194
20.0	fidelity1	0.7694078684
20.0	fidelity1	0.7774295807
20.0	fidelity1	0.7801808119
20.0	fidelity1	0.6794866323
20.0	fidelity1	0.6851937175
20.0	fidelity1	0.7455886602
20.0	fidelity1	0.7705157995
20.0	fidelity1	0.7806787491
20.0	fidelity1	0.6388173699
20.0	fidelity1	0.7743601799
20.0	fidelity1	0.6979440451
20.0	fidelity1	0.6271390319
20.0	fidelity1	0.7089912295
20.0	fidelity1	0.7757894993
20.0	fidelity1	0.6946747303
20.0	fidelity1	0.7815510631
20.0	fidelity1	0.7817479968
20.0	fidelity1	0.7536491156
20.0	fidelity1	0.7815995216
20.0	fidelity1	0.7754000425
20.0	fidelity1	0.6800564528
20.0	fidelity1	0.6031197309
20.0	fidelity1	0.7785393596
20.0	fidelity1	0.6524690390
20.0	fidelity1	0.7793468237
20.0	fidelity1	0.7561879158
20.0	fidelity1	0.7123385668
20.0	fidelity1	0.7472938299
20.0	fidelity1	0.7814183235
20.0	fidelity1	0.7244068384
20.0	fidelity1	0.7188002467
20.0	fidelity1	0.7500777245
20.0	fidelity1	0.7803747654
20.0	fidelity1	0.7806348801
20.0	fidelity1	0.7785360217
20.0	fidelity1	0.7787666321
20.0	fidelity1	0.7787491679
20.0	fidelity1	0.6758803129
20.0	fidelity1	0.5968987346
20.0	fidelity1	0.5707343817
20.0	fidelity1	0.7649563551
20.0	fidelity1	0.7723584175
20.0	fidelity1	0.7404415011
20.0	fidelity1	0.7759749889
20.0	fidelity1	0.7739371657
20.0	fidelity1	0.7809456587
20.0	fidelity1	0.6570150256
20.0	fidelity1	0.6293219328
20.0	fidelity1	0.7741098404
20.0	fidelity1	0.7472157478
20.0	fidelity1	0.7201603651
20.0	fidelity1	0.6892274618
20.0	fidelity1	0.7238363028
20.0	fidelity1	0.6751322150
20.0	fidelity1	0.7415315509
20.0	fidelity1	0.7589340210
20.0	fidelity1	0.6974345446
20.0	fidelity1	0.7177187800
20.0	fidelity1	0.7780839801
20.0	fidelity1	0.7786613703
20.0	fidelity1	0.7812414169
20.0	trace_distance	0.3275173903
20.0	trace_distance	0.4002834558
20.0	trace_distance	0.3528043032
20.0	trace_distance	0.3311984539
20.0	trace_distance	0.3486394882
20.0	trace_distance	0.5085993409
20.0	trace_distance	0.4073630869
20.0	trace_distance	0.3340530396
20.0	trace_distance	0.3382209241
20.0	trace_distance	0.4400428534
20.0	trace_distance	0.6143918037
20.0	trace_distance	0.3873702586
20.0	trace_distance	0.6455577612
20.0	trace_distance	0.4084568024
20.0	trace_distance	0.5632752776
20.0	trace_distance	0.3447118998
20.0	trace_distance	0.5144640207
20.0	trace_distance	0.3336649239
20.0	trace_distance	0.5354868174
20.0	trace_distance	0.4181320667
20.0	trace_distance	0.4587262869
20.0	trace_distance	0.3872959018
20.0	trace_distance	0.5682464242
20.0	trace_distance	0.3359204829
20.0	trace_distance	0.3559672832
20.0	trace_distance	0.3408120275
20.0	trace_distance	0.3277566433
20.0	trace_distance	0.4752012491
20.0	trace_distance	0.5834190249
20.0	trace_distance	0.3881508112
20.0	trace_distance	0.3273862004
20.0	trace_distance	0.4388270378
20.0	trace_distance	0.3322273195
20.0	trace_distance	0.3315972686
20.0	trace_distance	0.3708652258
20.0	trace_distance	0.4745206833
20.0	trace_distance	0.3311564922
20.0	trace_distance	0.3627672791
20.0	trace_distance	0.3298167586
20.0	trace_distance	0.3545304835
20.0	trace_distance	0.3371341228
20.0	trace_distance	0.3309571147
20.0	trace_distance	0.5104644299
20.0	trace_distance	0.5020091534
20.0	trace_distance	0.4017723501
20.0	trace_distance	0.3521792293
20.0	trace_distance	0.3298267126
20.0	trace_distance	0.5670781732
20.0	trace_distance	0.3438944519
20.0	trace_distance	0.4825844169
20.0	trace_distance	0.5823187828
20.0	trace_distance	0.4650989473
20.0	trace_distance	0.3407630324
20.0	trace_distance	0.4876387417
20.0	trace_distance	0.3278371990
20.0	trace_distance	0.3273863196
20.0	trace_distance	0.3864323497
20.0	trace_distance	0.3277263045
20.0	trace_distance	0.3416192532
20.0	trace_distance	0.5096265674
20.0	trace_distance	0.6124738455
20.0	trace_distance	0.3346561790
20.0	trace_distance	0.5487260818
20.0	trace_distance	0.3328411877
20.0	trace_distance	0.3814734519
20.0	trace_distance	0.4596694112
20.0	trace_distance	0.3985762894
20.0	trace_distance	0.3281405568
20.0	trace_distance	0.4395377934
20.0	trace_distance	0.4490029216
20.0	trace_distance	0.3933031559
20.0	trace_distance	0.3305169940
20.0	trace_distance	0.3299263716
20.0	trace_distance	0.3346639276
20.0	trace_distance	0.3341463804
20.0	trace_distance	0.3341856003
20.0	trace_distance	0.5157357454
20.0	trace_distance	0.6200450063
20.0	trace_distance	0.6509240866
20.0	trace_distance	0.3638259768
20.0	trace_distance	0.3482328653
20.0	trace_distance	0.4112682343
20.0	trace_distance	0.3403545320
20.0	trace_distance	0.3448157310
20.0	trace_distance	0.3292189837
20.0	trace_distance	0.5424768925
20.0	trace_distance	0.5795005560
20.0	trace_distance	0.3444399834
20.0	trace_distance	0.3987233043
20.0	trace_distance	0.4467250705
20.0	trace_distance	0.4959461987
20.0	trace_distance	0.4405103922
20.0	trace_distance	0.5168223977
20.0	trace_distance	0.4092756808
20.0	trace_distance	0.3760354817
20.0	trace_distance	0.4833756685
20.0	trace_distance	0.4508054256
20.0	trace_distance	0.3356748819
20.0	trace_distance	0.3343824148
20.0	trace_distance	0.3285446763
40.0	fidelity1	0.7789015770
40.0	fidelity1	0.7621868849
40.0	fidelity1	0.7802707553
40.0	fidelity1	0.7813221216
40.0	fidelity1	0.6762166023
40.0	fidelity1	0.7784560919
40.0	fidelity1	0.7592362165
40.0	fidelity1	0.7641713023
40.0	fidelity1	0.6519415379
40.0	fidelity1	0.7812265158
40.0	fidelity1	0.6885778308
40.0	fidelity1	0.7770012617
40.0	fidelity1	0.7673568130
40.0	fidelity1	0.6702389717
40.0	fidelity1	0.7343804240
40.0	fidelity1	0.7686728239
40.0	fidelity1	0.5831627250
40.0	fidelity1	0.6476647854
40.0	fidelity1	0.7661215067
40.0	fidelity1	0.7794486880
40.0	fidelity1	0.6860971451
40.0	fidelity1	0.7817065716
40.0	fidelity1	0.7389178276
40.0	fidelity1	0.7738611102
40.0	fidelity1	0.7265001535
40.0	fidelity1	0.7709408998
40.0	fidelity1	0.6536108851
40.0	fidelity1	0.7801723480
40.0	fidelity1	0.7334394455
40.0	fidelity1	0.7374076843
40.0	fidelity1	0.7431397438
40.0	fidelity1	0.7011861801
40.0	fidelity1	0.7784612179
40.0	fidelity1	0.7570652962
40.0	fidelity1	0.7515128851
40.0	fidelity1	0.7729495764
40.0	fidelity1	0.7564462423
40.0	fidelity1	0.5538215041
40.0	fidelity1	0.7651081085
40.0	fidelity1	0.7797660232
40.0	fidelity1	0.7050714493
40.0	fidelity1	0.7078815699
40.0	fidelity1	0.7693715096
40.0	fidelity1	0.7619088888
40.0	fidelity1	0.7806462049
40.0	fidelity1	0.7802562118
40.0	fidelity1	0.6777953506
40.0	fidelity1	0.7388296127
40.0	fidelity1	0.7740923166
40.0	fidelity1	0.7460405231
40.0	fidelity1	0.7100143433
40.0	fidelity1	0.7411627769
40.0	fidelity1	0.6869654655
40.0	fidelity1	0.7003842592
